time,altitude,acceleration
437.956,110.9265468,9.5124505
438.114,109.8293203,10.77750835
438.284,108.8174337,9.3163175
438.425,108.0341359,10.01258965
438.579,107.2112161,10.787315
438.739,106.4370619,10.4146623
438.907,105.5623286,10.1008495
439.059,104.6632124,9.414384
439.224,103.7214264,9.7281968
439.391,102.910698,9.6889702
439.558,102.0633953,9.9243298
439.72,100.7863456,10.5127288
439.897,99.7622676,11.2580342
440.094,98.52179214,10.42446895
440.235,97.85126486,10.81673495
440.386,96.93081378,10.85596155
440.54,95.96159707,9.7478101
440.717,94.96799756,10.4342756
440.876,94.00792441,9.2378643
441.03,93.16976532,10.4342756
441.193,92.44742457,9.6889702
441.342,91.75861018,10.67944185
441.513,91.06065224,10.52253545
441.681,90.25601951,10.54214875
441.857,89.59158793,10.18910935
442.017,88.6741847,11.50320045
442.214,87.56476684,9.8262633
442.356,86.82109113,10.44408225
442.503,85.72081682,9.5320638
442.653,84.85522706,11.22861425
442.823,83.47150259,11.36590735
442.991,82.32855837,10.58137535
443.158,81.33800671,9.38496405
443.322,80.66443158,10.87557485
443.472,79.91466016,10.30678915
443.634,79.18927156,12.09159945
443.776,78.38768668,11.9444997
443.923,77.79640354,11.38552065
444.072,76.94605303,10.85596155
444.234,76.05303261,11.18938765
444.376,75.13562938,10.1596894
444.523,74.31880524,9.97336305
444.672,73.34654069,10.01258965
444.834,72.41694605,9.99297635
444.976,71.48430357,9.6889702
445.123,70.92045108,9.9635564
445.272,70.33526364,10.7088618
445.44,69.44224322,10.87557485
445.604,68.98201768,11.7483667
445.764,68.40292594,12.8663248
445.907,67.65315453,11.5914603
446.049,67.04053642,11.1403544
446.213,66.32124352,10.3754357
446.356,65.67814691,9.3359308
446.524,64.84608351,10.3558224
446.667,64.08412069,9.93413645
446.819,63.2642487,11.0619012
446.986,62.41694605,10.46369555
447.139,61.68546175,10.7284751
447.308,60.99969521,10.32640245
447.464,60.30478513,10.3362091
447.612,59.63425785,10.85596155
447.784,58.57665346,10.20872265
447.944,57.71411155,9.5712904
448.086,57.14416336,11.4541672
448.239,56.24504724,9.73800345
448.399,55.31850046,11.2384209
448.567,54.29137458,10.32640245
448.719,53.39530631,10.2969825
448.883,52.55714721,10.3362091
449.032,51.59402621,10.85596155
449.193,50.4754648,10.5127288
449.364,49.43005181,11.5130071
449.505,48.4364523,11.38552065
449.659,47.68363304,10.65982855
449.82,46.76622981,9.83606995
449.979,45.79701311,11.42474725
450.14,44.87046632,9.9439431
450.303,43.80067053,10.13026945
450.452,43.18805242,10.11065615
450.624,42.23102713,10.03220295
450.79,41.36543737,10.36562905
450.959,40.54556538,9.9047165
451.121,39.80188967,9.7870367
451.288,38.98811338,9.79684335
451.451,37.79945139,10.01258965
451.618,37.19902469,10.38524235
